DAC0_V,DAC1_V,Diff0_V,Diff1_V,ADS0_V,ADS1_V,ADS0_Raw,ADS1_Raw,DAC0_Raw,DAC1_Raw,Vref
0.01533,0.01533,-0.00169,-0.00064,0.01703,0.01598,90.80,85.20,100,100,5.02470
0.03067,0.03067,-0.00196,-0.00083,0.03263,0.03150,174.00,168.00,200,200,5.02410
0.04597,0.04597,-0.00107,-0.00132,0.04704,0.04729,250.90,252.20,300,300,5.02093
0.06126,0.06126,-0.00161,-0.00201,0.06287,0.06326,335.30,337.40,400,400,5.01803
0.07654,0.07654,-0.00090,-0.00140,0.07744,0.07794,413.00,415.70,500,500,5.01592
0.09181,0.09181,-0.00182,-0.00227,0.09364,0.09409,499.40,501.80,600,600,5.01409
0.10709,0.10709,-0.00119,-0.00170,0.10828,0.10879,577.50,580.20,700,700,5.01274
0.12232,0.12232,-0.00184,-0.00355,0.12416,0.12587,662.20,671.30,800,800,5.01009
0.13758,0.13758,-0.00119,-0.00296,0.13877,0.14053,740.10,749.50,900,900,5.00884
0.15282,0.15282,-0.00171,-0.00355,0.15454,0.15638,824.20,834.00,1000,1000,5.00756
0.16806,0.16806,-0.00122,-0.00103,0.16928,0.16909,902.80,901.80,1100,1100,5.00606
0.18330,0.18330,-0.00177,-0.00175,0.18506,0.18504,987.00,986.90,1200,1200,5.00505
0.19852,0.19852,-0.00111,-0.00218,0.19963,0.20070,1064.70,1070.40,1300,1300,5.00383
0.21378,0.21378,-0.00159,-0.00269,0.21536,0.21647,1148.60,1154.50,1400,1400,5.00342
0.22901,0.22901,-0.00094,-0.00202,0.22995,0.23104,1226.40,1232.20,1500,1500,5.00273
0.24426,0.24426,-0.00200,-0.00296,0.24626,0.24722,1313.40,1318.50,1600,1600,5.00229
0.25953,0.25953,-0.00130,-0.00243,0.26083,0.26196,1391.10,1397.10,1700,1700,5.00229
0.27480,0.27480,-0.00194,-0.00362,0.27673,0.27842,1475.90,1484.90,1800,1800,5.00235
0.29010,0.29010,-0.00113,-0.00289,0.29122,0.29299,1553.20,1562.60,1900,1900,5.00295
0.30560,0.30560,-0.00141,-0.00290,0.30701,0.30849,1637.40,1645.30,2000,2000,5.00678
